COD_LSE,ETA_LSE,TYP_LSE,LIC_LSE,nbr_min_elp_obl_chx,nbr_max_elp_obl_chx,niveau,cod_elp_pere,cod_elp_fils,eta_elp_fils,lic_elp_fils,lib_elp_fils,lic_nel_fils,crd_elp_fils,cod_etp_mul,cod_vrs_vet_mul,TEM_VAL_MUL,TEM_CON_ELP,DUR_CON_ELP,NOT_MIN_CON_ELP,TEM_ANL_RPT_ELP,NOT_MIN_RPT_ELP,TEM_CAP_ELP,TEM_MEI_NOT_ELP,NOT_MIN_MEI_NOT_ELP,TEM_RPT_DSC_ELP,lib_elp,TEM_SES_UNI,TEM_REL_POS_SYT,cod_vrs_vet_porteuse,cod_etp_porteuse,tem_sus_elp,elp_fils.tem_sus_elp,,,
ML1,O,Obligatoire,Liste semestre 1,,,2,ML1,ML1ACP,O,Accomp pedagogique S1,Accomp pedagogique S1,U.E.,,,,,O,99,10,N,10,O,N,0,O, Semestre 1,N,O,,,N,N,,,
ML1,O,Obligatoire,Liste semestre 1,,,2,ML1,ML1DEC,O,UE Decouverte 1,UE Decouverte 1,U.E.,10,,,,O,99,10,N,10,O,N,0,O, Semestre 1,N,O,,,N,N,,,
ML1,O,Obligatoire,Liste semestre 1,,,2,ML1,ML1INFOR,O,UE Informatique 1,UE Informatique 1,U.E.,10,,,,O,99,10,N,10,O,N,0,O, Semestre 1,N,O,,,N,N,,,
ML1,O,Obligatoire,Liste semestre 1,,,2,ML1,ML1MC,O,UE Mathématiques 1,UE Mathématiques  1,U.E.,10,,,,O,99,10,N,10,O,N,0,O, Semestre 1,N,O,,,N,N,,,
ML1ACP,O,Obligatoire,Liste acc pedagique S1,,,3,ML1ACP,ML1PIP,O,Innovation pédagogique,Innovation pédagogique,ECUE,,,,,N,,,N,,N,N,0,N,Accomp pedagogique S1,N,N,,,N,N,,,
ML1ACP,O,Obligatoire,Liste acc pedagique S1,,,3,ML1ACP,ML1PLDC,O,plan decouverte  S1,plan reussite License S1,ECUE,,,,,N,,,N,,N,N,0,N,Accomp pedagogique S1,N,N,,,N,N,,,
ML1ACP,O,Obligatoire,Liste acc pedagique S1,,,3,ML1ACP,ML1TUTO,O,Tutorat S1,Tutorat S1,ECUE,,,,,N,,,N,,N,N,0,N,Accomp pedagogique S1,N,N,,,N,N,,,
ML1DEC,O,Obligatoire à choix,Liste UE Découverte 1,2,2,3,ML1DEC,ML1BIO,O,Biologie 1,Biologie 1,ECUE,,,,,O,99,10,N,10,O,N,0,O,UE Decouverte 1,N,O,,,N,N,,,
ML1DEC,O,Obligatoire à choix,Liste UE Découverte 1,2,2,3,ML1DEC,ML1ECO,O,Economie 1,Economie 1,ECUE,,,,,O,99,10,N,10,O,N,0,O,UE Decouverte 1,N,O,,,N,N,,,
ML1DEC,O,Obligatoire à choix,Liste UE Découverte 1,2,2,3,ML1DEC,ML1HIST,O,Histoire des sciences,Histoire des sciences,ECUE,,,,,O,99,10,N,10,O,N,0,O,UE Decouverte 1,N,O,,,N,N,,,
ML1DEC,O,Obligatoire à choix,Liste UE Découverte 1,2,2,3,ML1DEC,ML1PHYS,O,Physique 1,Physique 1,ECUE,,,,,O,99,10,N,10,O,N,0,O,UE Decouverte 1,N,O,,,N,N,,,
ML1DEC,O,Obligatoire à choix,Liste UE Découverte 1,2,2,3,ML1DEC,ML1SCH,O,Sciences humaines 1,Sciences humaines 1,ECUE,,,,,O,99,10,N,10,O,N,0,O,UE Decouverte 1,N,O,,,N,N,,,
ML1INFOR,O,Obligatoire,liste UE informatique,,,3,ML1INFOR,ML1C2I,O,Préparation au C2I,Préparation au C2I,C2I,,,,,O,99,10,N,10,O,N,0,O,UE Informatique 1,N,O,,,N,N,,,
ML1INFOR,O,Obligatoire,liste UE informatique,,,3,ML1INFOR,ML1PROG,O,Initiation à la programma,Initiation à la programmation,ECUE,,,,,O,99,10,N,10,O,N,0,O,UE Informatique 1,N,O,,,N,N,,,
ML1MC,O,Obligatoire,liste mathématiques 1,,,3,ML1MC,ML1MC1,O,Mathématiques et calcul 1,Mathématiques et calcul 1,ECUE,,,,,O,99,10,N,10,O,N,0,O,UE Mathématiques  1,N,O,,,N,N,,,
ML1SCH,O,Obligatoire à choix,Liste Sciences humaines,2,2,4,ML1SCH,ML1LIN,O,Linguistique 1,Linguistique 1,Matière,,,,,O,2,10,O,7,O,N,0,N,Sciences humaines 1,N,O,,,N,N,,,
ML1SCH,O,Obligatoire à choix,Liste Sciences humaines,2,2,4,ML1SCH,ML1PSY,O,Psychologie 1,Psychologie 1,Matière,,,,,O,2,10,O,7,O,N,0,N,Sciences humaines 1,N,O,,,O,N,,,
