COD_ELP,COD_ANU,TEM_CAL_CHG,NBR_HEU_CM_ELP,NBR_HEU_TD_ELP,NBR_HEU_TP_ELP,COD_SCC,COM_CAL_CHG,NBR_GRP_CM_PRV_CAL,NBR_GRP_TD_PRV_CAL,NBR_GRP_TP_PRV_CAL,NRM_ELP_CM,NRM_ELP_TD,NRM_ELP_TP,NBR_MIN_ETU_GRP_SUPP_CM,NBR_MIN_ETU_GRP_SUPP_TD,NBR_MIN_ETU_GRP_SUPP_TP
ML1,2017,N,,,12,,,,,,300,30,24,,,
ML1BIO,2017,O,18,24,,65,,,,,200,30,,,,
ML1C2I,2017,O,9,12,18,27,,,,,330,40,20,,,
ML1DEC,2017,O,,,,27,,,,,300,30,24,,,
ML1ECO,2017,O,24,18,,26,,,,,280,45,,,,
ML1HIST,2017,O,18,24,,,,,,,200,40,,,,
ML1INFOR,2017,O,19.5,52,,27,,,,,330,42,,,,
ML1MC,2017,O,39,58.5,,26,,,,,200,36,,,,
ML1MC1,2017,O,36,54,,26,,,,,330,40,,,,
ML1PHYS,2017,O,18,24,,28,,,,,180,40,,,,
ML1PLDC,2017,O,,26,,26,,,,,,22,,,,
ML1PROG,2017,O,9,12,18,26,,,,,300,40,20,,,
ML1SCH,2017,O,18,24,,19,,,,,100,40,,,,
ML1TUTO,2017,O,,26,,27,,,,,,72,,,,
ML2,2017,N,,,,,,,,,300,30,24,,,
ML2ANG,2017,O,,24,,11,,,,,,40,,,,
ML2AUTRE,2017,N,,,,,,,,,300,30,24,,,
ML2BIO,2017,O,18,24,,65,,,,,80,40,,,,
ML2CG,2017,N,,,,,,,,,300,30,24,,,
ML2DEC,2017,N,,,,,,,,,300,30,24,,,
ML2ECO,2017,O,24,18,,5,,,,,200,40,,,,
ML2INFO,2017,N,,,,,,,,,300,30,24,,,
ML2MC,2017,O,39,58.5,,26,,,,,210,36,,,,
ML2MC2,2017,O,36,54,,26,,,,,380,42,,,,
ML2NLOG,2017,O,15,18,,26,,,,,330,42,,,,
ML2PHYS,2017,O,18,24,,28,,,,,80,38,,,,
ML2PLDC,2017,O,,26,,26,,,,,,17,,,,
ML2PROG,2017,O,15,21,24,27,,,,,380,45,40,,,
ML2PROP,2017,N,,,,,,,,,300,30,24,,,
ML2SCH,2017,O,18,24,,19,,,,,40,25,,,,
ML2SP,2017,O,,26,,74,,,,,,36,,,,
ML2TUTO,2017,O,,26,,27,,,,,,72,,,,
ML3ALG3,2017,O,26,39,0,26,,,,,200,36,24,,,
ML3ALGE3,2017,O,24,36,,26,,,,,100,30,,,,
ML3ALGO,2017,O,18,24,,27,,,,,180,45,,,,
ML3ANA,2017,O,26,39,,26,,,,,200,36,24,,,
ML3ANA3,2017,O,24,36,3,26,,,,,300,30,24,,,
ML3ANAL3,2017,O,24,36,,27,,,,,110,38,,,,
ML3ANG,2017,O,,24,,27,,,,,,25,,,,
ML3ARCH,2017,O,18,24,,27,,,,,90,30,,,,
ML3BIO,2017,O,18,24,,26,,,,,40,40,,,,
ML3CG,2017,N,,,,,,,,,300,30,24,,,
ML3CG2,2017,N,,,,,,,,,300,30,24,,,
ML3CHX,2017,N,,,,,,,,,300,30,24,,,
ML3COMP,2017,N,,,,,,,,,300,30,24,,,
ML3ECO,2017,O,24,18,,26,,,,,140,48,,,,
ML3IN,2017,N,,,,,,,,,300,30,24,,,
ML3INFOR,2017,N,,,,,,,,,300,30,24,,,
ML3INTRO,2017,O,19.5,45.5,,26,,,,,200,36,,,,
ML3MA,2017,N,,,,,,,,,300,30,24,,,
ML3MAINF,2017,O,18,24,,26,,,,,,,,,,
ML3PHYS,2017,O,18,24,,26,,,,,40,40,,,,
ML3PROBA,2017,O,18,30,,26,,,,,180,40,,,,
ML3PROG,2017,O,18,18,24,27,,,,,170,40,40,,,
ML3PROP,2017,N,,,,,,,,,300,30,24,,,
ML3SCH,2017,O,15,15,,,,,,,200,36,24,,,
ML3SP,2017,O,,26,,74,,,,,,30,,,,
ML3SPEC,2017,N,,,,,,,,,300,30,24,,,
ML3SPEC2,2017,N,,,,,,,,,300,30,24,,,
ML3WEB,2017,O,18,24,,26,,,,,160,38,,,,
ML4ALG,2017,O,18,24,,26,,,,,200,36,,,,
ML4ALG4,2017,O,18,24,,26,,,,,85,38,,,,
ML4ALGO,2017,O,18,24,,26,,,,,90,44,,,,
ML4ANAL,2017,O,32.5,52,,27,,,,,200,36,,,,
ML4ANAL4,2017,O,36,48,,26,,,,,80,40,,,,
ML4ANG,2017,O,,,30,11,,,,,,,24,,,
ML4ANIN4,2017,O,18,24,,27,,,,,80,40,,,,
ML4ANING,2017,O,19.5,26,,27,,,,,200,36,,,,
ML4BIO,2017,O,19.5,26,,65,,,,,200,36,,,,
ML4CG,2017,N,,,,,,,,,300,30,24,,,
ML4CG2,2017,N,,,,,,,,,300,30,24,,,
ML4CHX,2017,N,,,,,,,,,300,30,24,,,
ML4CHX2,2017,N,,,,,,,,,300,30,24,,,
ML4COMP,2017,N,,,,,,,,,300,30,24,,,
ML4CSMO4,2017,O,12,12,18,26,,,,,80,40,30,,,
ML4CSMOD,2017,O,13,13,19.5,27,,,,,200,36,24,,,
ML4ECOM,2017,O,18,24,,27,,,,,90,45,,,,
ML4ECOP,2017,N,,,,,,,,,300,30,24,,,
ML4IN,2017,N,,,,,,,,,300,30,24,,,
ML4INF,2017,N,,,,,,,,,300,30,24,,,
ML4INIS,2017,O,12,12,,27,,,,,20,20,,,,
ML4MA,2017,N,,,,,,,,,300,30,24,,,
ML4MATH,2017,N,,,,,,,,,300,30,24,,,
ML4MG,2017,N,,,,,,,,,300,30,24,,,
ML4PARIN,2017,N,,,,,,,,,300,30,24,,,
ML4PARMA,2017,N,,,,,,,,,300,30,24,,,
ML4PARTE,2017,N,,,,,,,,,300,30,24,,,
ML4PHYS,2017,O,19.5,26,,28,,,,,200,36,,,,
ML4PREP,2017,N,,,,,,,,,300,30,24,,,
ML4PREPA,2017,O,18,24,,26,,,,,25,25,,,,
ML4PROG,2017,O,19.5,19.5,26,27,,,,,200,36,24,,,
ML4PROG4,2017,O,18,42,,27,,,,,116,38,,,,
ML4PROGP,2017,O,,7,5,27,,,,,,35,5,,,
ML4PROP,2017,N,,,,,,,,,300,30,24,,,
ML4SCH,2017,N,,,,,,,,,300,30,24,,,
ML4SICG,2017,O,18,24,,27,,,,,75,70,,,,
ML4SP,2017,N,,,,,,,,,300,30,24,,,
ML4SPEC,2017,N,,,,,,,,,300,30,24,,,
ML4SPEC2,2017,N,,,,,,,,,300,30,24,,,
ML4SPEC3,2017,N,,,,,,,,,300,30,24,,,
ML4STAT,2017,O,19.5,26,,26,,,,,200,36,,,,
ML4STAT4,2017,O,18,24,,26,,,,,80,40,,,,
ML4SYST,2017,O,19.5,,26,27,,,,,200,,24,,,
ML4SYST4,2017,O,18,24,,27,,,,,150,38,,,,
ML4THORG,2017,O,12,18,,27,,,,,100,45,,,,
ML5ALG,2017,O,19.5,26,,26,,,,,200,36,,,,
ML5ALG5,2017,O,18,24,,26,,,,,40,40,,,,
ML5ALGO,2017,O,19.5,26,,27,,,,,200,36,,,,
ML5ALGO5,2017,O,18,24,,27,,,,,90,40,,,,
ML5ANAL,2017,O,18,24,,27,,,,,80,40,,,,
ML5ANG,2017,O,,,30,11,,,,,,,24,,,
ML5AUTRE,2017,N,,,,,,,,,300,30,24,,,
ML5BD,2017,O,19.5,,26,27,,,,,200,,24,,,
ML5BIO,2017,O,18,24,,65,,,,,38,38,,,,
ML5CG,2017,N,,,,,,,,,300,30,24,,,
ML5CGIN,2017,N,,,,,,,,,300,30,24,,,
ML5CGMG,2017,N,,,,,,,,,300,30,24,,,
ML5CHXEM,2017,N,,,,,,,,,300,30,24,,,
ML5CHXMA,2017,N,,,,,,,,,300,30,24,,,
ML5COMP,2017,N,,,,,,,,,300,30,24,,,
ML5COMP2,2017,N,,,,,,,,,300,30,24,,,
ML5COMP3,2017,N,,,,,,,,,300,30,24,,,
ML5DEPE,2017,N,,,,,,,,,300,30,24,,,
ML5DINST,2017,N,,,,,,,,,300,30,24,,,
ML5DIS,2017,N,,,,,,,,,300,30,24,,,
ML5E5A,2017,O,24,18,,27,,,,,110,54,,,,
ML5E5B,2017,O,24,18,,27,,,,,40,40,,,,
ML5ECOP,2017,O,24,18,,26,,,,,,,,,,
ML5EM,2017,N,,,,,,,,,300,30,24,,,
ML5EPS,2017,O,48,48,,74,,,,,300,30,,,,
ML5EQ,2017,N,,,,,,,,,300,30,24,,,
ML5GEOM,2017,O,26,26,,26,,,,,200,36,,,,
ML5IC,2017,N,,,,,,,,,300,30,24,,,
ML5IMOD,2017,N,,,,,,,,,300,30,24,,,
ML5IN,2017,N,,,,,,,,,300,30,24,,,
ML5INFOB,2017,N,,,,,,,,,300,30,24,,,
ML5INTEG,2017,O,18,24,,26,,,,,80,55,,,,
ML5LING,2017,O,48,48,,26,,,,,300,30,,,,
ML5LOGI,2017,O,18,24,,27,,,,,60,38,,,,
ML5MA,2017,N,,,,,,,,,300,30,24,,,
ML5MATH,2017,N,,,,,,,,,300,30,24,,,
ML5MATH2,2017,O,30,24,30,26,,,,,300,30,24,,,
ML5MATHD,2017,O,24,36,18,26,,,,,40,40,40,,,
ML5MG,2017,N,,,,,,,,,300,30,24,,,
ML5NUM,2017,O,24,24,,26,,,,,40,40,,,,
ML5OPT,2017,O,19.5,26,,26,,,,,200,36,,,,
ML5OPT5,2017,O,18,24,,26,,,,,80,40,,,,
ML5PAREM,2017,N,,,,,,,,,300,30,24,,,
ML5PAREQ,2017,N,,,,,,,,,300,30,24,,,
ML5PARIC,2017,N,,,,,,,,,300,30,24,,,
ML5PARIN,2017,N,,,,,,,,,300,30,24,,,
ML5PARMA,2017,N,,,,,,,,,300,30,24,,,
ML5PARMG,2017,N,,,,,,,,,300,30,24,,,
ML5PARPL,2017,N,,,,,,,,,300,30,24,,,
ML5PARTS,2017,N,,,,,,,,,300,30,24,,,
ML5PHYS,2017,O,18,24,,27,,,,,40,40,,,,
ML5PL,2017,N,,,,,,,,,300,30,24,,,
ML5PROB5,2017,O,18,24,,26,,,,,120,40,,,,
ML5PROBA,2017,O,19.5,26,,26,,,,,200,36,,,,
ML5PROG,2017,O,19.5,,39,27,,,,,300,,24,,,
ML5PROG5,2017,O,18,36,,27,,,,,160,38,,,,
ML5PSI,2017,O,18,24,,26,,,,,40,38,,,,
ML5RESO,2017,O,18,24,,27,,,,,120,40,,,,
ML5REX,2017,N,,,,,,,,,300,30,24,,,
ML5SCH,2017,O,19.5,26,,19,,,,,300,30,,,,
ML5SP,2017,N,,,,,,,,,300,30,24,,,
ML5SPEIN,2017,N,,,,,,,,,300,30,24,,,
ML5SPEM,2017,N,,,,,,,,,300,30,24,,,
ML5SPEQ,2017,N,,,,,,,,,300,30,24,,,
ML5SPETS,2017,N,,,,,,,,,300,30,24,,,
ML5SPMA,2017,N,,,,,,,,,300,30,24,,,
ML5SSI,2017,O,19.5,26,,27,,,,,200,26,,,,
ML5SSI5,2017,O,18,24,,27,,,,,90,45,,,,
ML5STAL,2017,O,19.5,26,,27,,,,,200,36,,,,
ML5STAL5,2017,O,18,24,,26,,,,,40,40,,,,
ML5STECH,2017,N,,,,,,,,,300,30,24,,,
ML5SYD,2017,O,19.5,26,,27,,,,,200,36,,,,
ML5SYD5,2017,O,18,24,,27,,,,,80,42,,,,
ML5TOPO,2017,O,18,24,,27,,,,,40,40,,,,
ML5TRE,2017,N,,,,,,,,,300,30,24,,,
ML5TS,2017,N,,,,,,,,,300,30,24,,,
ML5TSA,2017,N,,,,,,,,,300,30,24,,,
ML5TSB,2017,O,26,32.5,19.5,27,,,,,200,36,24,,,
ML6AESE,2017,O,18,24,,27,,,,,40,38,,,,
ML6ANAL,2017,O,18,24,,27,,,,,300,30,,,,
ML6ANAL6,2017,O,18,24,,27,,,,,42,40,,,,
ML6ANG,2017,O,,24,,27,,,,,,30,,,,
ML6ARCH,2017,O,18,24,,27,,,,,45,22,,,,
ML6AUTRE,2017,N,,,,,,,,,300,30,24,,,
ML6BD,2017,O,19.5,26,,27,,,,,200,36,,,,
ML6BIO,2017,O,19.5,26,,65,,,,,200,36,,,,
ML6BIOIN,2017,O,18,24,,27,,,,,20,20,,,,
ML6CADI6,2017,O,36,48,,26,,,,,42,42,,,,
ML6CADIF,2017,O,36,48,,27,,,,,300,30,,,,
ML6CG,2017,N,,,,,,,,,300,30,24,,,
ML6CG2,2017,N,,,,,,,,,300,30,24,,,
ML6CHX,2017,N,,,,,,,,,300,30,24,,,
ML6CHX2,2017,N,,,,,,,,,300,30,24,,,
ML6CHX3,2017,N,,,,,,,,,300,30,24,,,
ML6CHX4,2017,N,,,,,,,,,300,30,24,,,
ML6COEQ,2017,N,,,,,,,,,300,30,24,,,
ML6COIC,2017,N,,,,,,,,,300,30,24,,,
ML6COMG,2017,N,,,,,,,,,300,30,24,,,
ML6COMIN,2017,N,,,,,,,,,300,30,24,,,
ML6COMME,2017,N,,,,,,,,,300,30,24,,,
ML6COMPL,2017,N,,,,,,,,,300,30,24,,,
ML6DINF,2017,O,18,18,,27,,,,,90,45,,,,
ML6DRGE,2017,N,,,,,,,,,300,30,24,,,
ML6ECO,2017,O,24,18,,27,,,,,55,35,,,,
ML6ECO6,2017,N,,,,,,,,,300,30,24,,,
ML6ECOC,2017,O,24,18,,26,,,,,,,,,,
ML6ECON,2017,N,,,,,,,,,300,30,24,,,
ML6ECOP,2017,O,24,18,,27,,,,,65,35,,,,
ML6EM,2017,N,,,,,,,,,300,30,24,,,
ML6ENG,2017,N,,,,,,,,,300,30,24,,,
ML6EQ,2017,N,,,,,,,,,300,30,24,,,
ML6FINF,2017,O,19.5,26,,27,,,,,200,36,,,,
ML6FLE,2017,N,,,,26,,,,,,,,,,
ML6GEFI,2017,O,18,24,,27,,,,,105,50,,,,
ML6GEGP,2017,N,,,,,,,,,300,30,24,,,
ML6GELO,2017,O,13,19.5,13,27,,,,,200,36,24,,,
ML6GELO6,2017,O,12,30,,27,,,,,75,20,,,,
ML6GEOM,2017,O,19.5,26,,26,,,,,200,36,,,,
ML6HILB,2017,O,18,24,,26,,,,,60,38,,,,
ML6HISM,2017,O,18,24,,26,,,,,30,30,,,,
ML6IA,2017,O,18,24,,27,,,,,40,40,,,,
ML6IC,2017,N,,,,,,,,,300,30,24,,,
ML6IN,2017,N,,,,,,,,,300,30,24,,,
ML6INFOA,2017,N,,,,,,,,,300,30,24,,,
ML6INFOB,2017,N,,,,,,,,,300,30,24,,,
ML6LIEN,2017,N,,,,,,,,,300,30,24,,,
ML6LIGA,2017,O,12,12,,27,,,,,300,30,,,,
ML6LIGB,2017,O,12,12,,27,,,,,300,30,,,,
ML6LING,2017,N,,,,,,,,,300,30,24,,,
ML6LOG,2017,O,13,32.5,,27,,,,,200,36,,,,
ML6LOG6,2017,O,12,30,,26,,,,,30,25,,,,
ML6MA,2017,N,,,,,,,,,300,30,24,,,
ML6MANU,2017,O,12,12,,27,,,,,200,36,,,,
ML6MATH,2017,N,,,,,,,,,300,30,24,,,
ML6MATPL,2017,N,,,,,,,,,300,30,24,,,
ML6MG,2017,N,,,,,,,,,300,30,24,,,
ML6MNUM,2017,O,12,30,,26,,,,,65,35,,,,
ML6MUME,2017,O,18,24,,27,,,,,40,40,,,,
ML6PHYS,2017,O,18,24,,27,,,,,20,20,,,,
ML6PL,2017,N,,,,,,,,,300,30,24,,,
ML6PRAT,2017,O,12,12,,27,,,,,200,36,,,,
ML6PREP,2017,N,,,,,,,,,300,30,24,,,
ML6PROB6,2017,O,18,24,,26,,,,,35,35,,,,
ML6PROBA,2017,O,18,24,,27,,,,,200,36,,,,
ML6PROJE,2017,O,,6,,27,,,,,,4,,,,
ML6PROJG,2017,O,,,6,27,,,,,,,4,,,
ML6PROJM,2017,O,,,6,26,,,,,,,2,,,
ML6PRTU,2017,O,,,12,27,,,,,,,4,,,
ML6PRTU6,2017,O,,15,10,27,,,,,,15,2,,,
ML6SCH,2017,O,19.5,26,,19,,,,,200,36,,,,
ML6SP,2017,O,,26,,74,,,,,,36,,,,
ML6SPEEM,2017,N,,,,,,,,,300,30,24,,,
ML6SPEMA,2017,N,,,,,,,,,300,30,24,,,
ML6STAG,2017,O,,2,,26,,,,,,1,,,,
ML6STAL,2017,O,19.5,26,,26,,,,,200,36,,,,
ML6STAL6,2017,O,18,24,,26,,,,,30,30,,,,
ML6STAP6,2017,O,,2,,27,,,,,,1,,,,
ML6STIN6,2017,O,18,24,,26,,,,,65,56,,,,
ML6STINF,2017,O,19.5,26,,26,,,,,200,36,,,,
ML6SYNUM,2017,O,19.5,26,,27,,,,,200,36,,,,
ML6TS,2017,N,,,,,,,,,300,30,24,,,
MLA155,2017,O,18,24,,65,,,,,250,51,,,,
MLA160,2017,O,18,24,,26,,,,,225,45,,,5,
MLA165,2017,O,18,24,,26,,,,,199,38,,,,
MLA165A,2017,O,18,24,,26,,,,,120,50,,,10,
MLA165B,2017,O,18,24,,26,,,,,200,40,,,,
MLA170,2017,O,18,24,,26,,,,,199,38,,,,
MLA175,2017,O,18,24,,26,,,,,350,38,,,,
MLA255,2017,O,18,24,,65,,,,,200,40,,,,
MLA260,2017,O,18,24,,26,,,,,200,40,,,,
MLA265,2017,O,18,24,,26,,,,,200,40,,,,
MLA265A,2017,O,18,24,,26,,,,,200,40,,,,
MLA265B,2017,O,18,24,,26,,,,,200,40,,,,
MLA270,2017,O,18,24,,26,,,,,200,40,,,,
MLA275,2017,O,18,24,,26,,,,,200,40,,,,
MLA355,2017,O,18,24,,65,,,,,199,35,,,,
MLA355A,2017,O,18,24,,65,,,,,199,35,,,,
MLA355X,2017,O,24,18,,65,,,,,99,15,,,,
MLA360,2017,O,18,,24,26,,,,,199,,25,,,
MLA375,2017,O,18,24,,26,,,,,199,35,,,,
MLA432,2017,O,18,24,,26,,,,,200,40,,,,
MLA450,2017,O,18,24,,26,,,,,200,40,,,,
MLA451,2017,O,18,24,,26,,,,,200,40,,,,
MLA455,2017,O,18,24,,65,,,,,200,40,,,,
MLA455A,2017,O,24,18,,65,,,,,99,18,,,,
MLA455X,2017,O,24,18,,65,,,,,99,18,,,,
MLA460,2017,O,18,,36,26,,,,,200,,30,,,
MLA461,2017,O,18,24,,26,,,,,200,40,,,,
MLA470,2017,O,,,24,26,,,,,,,30,,,
